id|name|has_tono_records|video_id|type_id|version|creation_began|creation_finished|offset|duration|location
626375|b'Shofar San Remo traktaten'|f|626375|2|1|2020-04-24 15:38:59.941415+00:00||0|1375.16|http://frontend.frikanalen.tv/media/b'626375/broadcast/Shofar San Remo traktaten.dv'
626374|b'Tett p\xc3\xa5 (1) - Tommy H\xc3\xb8gset'|f|626374|2|1|2020-04-17 09:54:17.255700+00:00||0|1602.4|http://frontend.frikanalen.tv/media/b'626374/broadcast/tv_tp_012.dv'
626373|b'Tett p\xc3\xa5 (1) - Linda Johnsen'|f|626373|2|1|2020-04-17 08:13:38.831797+00:00||0|1617.48|http://frontend.frikanalen.tv/media/b'626373/broadcast/tv_tp_011.dv'
626372|b'Tett p\xc3\xa5 (1) - Johanne Leineb\xc3\xb8'|f|626372|2|1|2020-04-17 07:46:28.169288+00:00||0|1651.04|http://frontend.frikanalen.tv/media/b'626372/broadcast/tv_tp_010.dv'
626371|b'Tett p\xc3\xa5 (1) - Kjell Furnes'|f|626371|2|1|2020-04-17 06:59:09.008073+00:00||0|1531.84|http://frontend.frikanalen.tv/media/b'626371/broadcast/tv_tp_009.dv'
626368|b'God S\xc3\xb8ndag fra P7 - Steinene taler 6 - Den hvite steinen'|f|626368|2|1|2020-04-17 05:35:41.374074+00:00||0|3542.72|http://frontend.frikanalen.tv/media/b'626368/broadcast/tv_gs_300_tv.dv'
626365|b'God S\xc3\xb8ndag fra P7 - Steinene taler 5 - Steiner i Samaria'|f|626365|2|1|2020-04-16 10:36:41.919352+00:00||0|3455.42|http://frontend.frikanalen.tv/media/b'626365/broadcast/tv_gs_299_tv.dv'
626359|b'Tett p\xc3\xa5 (1) - Ann-Mari Aas'|f|626359|2|1|2020-04-15 09:30:36.651600+00:00||0|1694.72|http://frontend.frikanalen.tv/media/b'626359/broadcast/tv_tp_008_cg.dv'
626355|b'Tett p\xc3\xa5 (1) - Henning Persson'|f|626355|2|1|2020-04-15 09:05:01.769710+00:00||0|1681.12|http://frontend.frikanalen.tv/media/b'626355/broadcast/tv_tp_007_cg.dv'
626354|b'Tett p\xc3\xa5 (1) - Arne Skagen'|f|626354|2|1|2020-04-15 08:35:33.965195+00:00||0|1721.68|http://frontend.frikanalen.tv/media/b'626354/broadcast/tv_tp_006_cg.dv'
